file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1044.9575518483948,1046.0315901981016,0.5370191748533216,12,12.8,0.39999999999999997,5.865840291976928
C101,363.246800411591,370.65929786755544,14.824994911928709,5,5.2,0.39999999999999997,16.57086534500122
RC101,968.8009202096008,985.7595855891674,30.348390026806758,10,10.2,0.39999999999999997,6.881711101531982
R102,918.4267345582155,919.3252020959255,1.8817753721360835,12,12.0,0.0,4.083256483078003
C102,362.17080999478554,369.69090649243043,14.774624085817026,5,5.2,0.39999999999999997,17.71115574836731
RC102,886.4703362473733,906.707941131943,38.96838185577294,9,9.3,0.6403124237432849,9.662681937217712
R103,784.1814641194544,806.8915842197569,8.523043333664138,9,9.8,0.4,10.509102010726929
C103,362.1708099947856,362.7565964324125,0.5857864376268935,5,5.0,0.0,15.799968194961547
RC103,811.9854260472605,846.9886568953727,23.353718158488537,8,8.6,0.4898979485566356,10.569237875938416
R104,648.7244007980883,653.8757335420535,2.2158451455697095,7,7.0,0.0,18.340708589553834
C104,359.60091643519,362.08820026445875,1.9092378371804641,5,5.0,0.0,23.17873945236206
RC104,557.3745195175036,579.1052255991275,23.957335163907832,5,5.4,0.4898979485566356,18.918069410324097
R105,927.8455792649919,964.2203100895589,25.017464470458798,10,11.8,0.8717797887081347,9.64221510887146
C105,363.246800411591,363.246800411591,5.3926402077338126e-14,5,5.0,0.0,13.24151644706726
RC105,926.3495928331208,952.5172396686079,18.368764846398523,9,10.0,0.4472135954999579,9.848807525634765
R106,811.4614114145667,818.6832344657215,6.607178713906846,9,9.7,0.45825756949558394,6.63472352027893
C106,363.246800411591,363.246800411591,5.3926402077338126e-14,5,5.0,0.0,12.398691940307618
RC106,870.5877408697286,920.7772147400849,21.811523768203404,9,9.8,0.4,6.921211314201355
R107,713.5011685531534,729.3714836798049,9.001421847775545,7,7.5,0.5,21.287692832946778
C107,363.246800411591,363.246800411591,5.084229945850415e-14,5,5.0,0.0,12.418570923805238
RC107,653.8502474829412,744.7121375768239,45.899030140589716,6,7.1,0.7,12.478546977043152
R108,635.085120915062,646.4008741989383,10.896916263493246,6,6.0,0.0,22.450020217895506
C108,363.246800411591,363.246800411591,5.084229945850415e-14,5,5.0,0.0,16.509309577941895
RC108,603.5686427739441,605.2883171056174,1.1823064123326648,6,6.0,0.0,11.21961851119995
