file,customers,vehicles,objective,elapsed_time,running_time
R101,10,4,265.26,21.48,21.35
C101,10,1,58.33,0.4,0.29
RC101,10,2,185.91,2.17,2.05
R102,10,NA,NA,956.71,956.6
C102,10,NA,NA,2.62,2.51
RC102,10,NA,NA,0.3,0.16
R103,10,NA,NA,0.99,0.88
C103,10,NA,NA,1.56,1.44
RC103,10,NA,NA,0.88,0.77
R104,10,NA,NA,0.94,0.81
C104,10,NA,NA,1.26,1.15
RC104,10,NA,NA,0.93,0.82
R105,10,3,253.07,0.43,0.3
C105,10,1,58.33,0.62,0.51
RC105,10,NA,NA,2.45,2.33
R106,10,NA,NA,1.19,1.07
C106,10,1,58.33,0.42,0.3
RC106,10,NA,NA,0.19,0.07
R107,10,NA,NA,0.74,0.63
C107,10,NA,NA,0.67,0.54
RC107,10,NA,NA,0.88,0.78
R108,10,NA,NA,0.63,0.51
C108,10,NA,NA,0.58,0.45
RC108,10,NA,NA,0.97,0.86
