file,best_distance,avg_distance,std_distance,best_vehicles,avg_vehicles,std_vehicles,avg_time
R101,1049.9840353172806,1053.0246491398852,6.455050785543803,12,12.0,0.0,7.256666755676269
C101,363.246800411591,363.246800411591,5.084229945850415e-14,5,5.0,0.0,11.696440410614013
RC101,958.5531409690655,959.2597609941258,1.4704417002521364,9,9.0,0.0,7.88118736743927
R102,923.4521747514506,931.0314622241601,5.05539596153123,11,11.2,0.4,5.547262644767761
C102,362.1708099947856,365.7281139784583,5.776605923726825,5,5.0,0.0,23.65228021144867
RC102,871.953590980212,878.1573608842054,3.6985863119088296,8,8.0,0.0,7.1854853391647335
R103,776.2201306735478,784.3771506219063,9.551491382968791,9,9.0,0.0,12.694070506095887
C103,366.0222831330834,395.60273504071426,39.076363247838266,5,5.3,0.45825756949558405,27.365807509422304
RC103,721.8015318838068,771.787618820312,25.75870181448634,6,6.9,0.3,15.068799257278442
R104,636.9453070231211,658.75665046996,13.373022445661622,6,6.8,0.39999999999999997,24.47841489315033
C104,358.88263601799457,366.23164688362675,8.184238702196275,5,5.0,0.0,36.26492567062378
RC104,555.4690380355299,592.4240990905915,20.779863105427946,5,5.7,0.45825756949558405,12.355813932418823
R105,946.7116106643986,976.0116913829572,20.235627748609645,9,9.0,0.0,9.484553003311158
C105,363.246800411591,363.246800411591,5.3926402077338126e-14,5,5.0,0.0,12.338941216468811
RC105,858.2582274211893,893.866992537453,12.973474070588756,8,8.0,0.0,8.393211245536804
R106,829.6426932846678,839.1722937047294,11.201185497417624,9,9.0,0.0,9.653981828689576
C106,363.24680041159104,363.246800411591,5.684341886080802e-14,5,5.0,0.0,11.64736795425415
RC106,728.885156233822,771.7793170318389,35.564758117293515,6,6.5,0.5,15.525035285949707
R107,742.0781101493643,752.5956247836336,11.808622137112405,7,7.0,0.0,21.813256478309633
C107,363.24680041159104,363.246800411591,5.684341886080802e-14,5,5.0,0.0,12.031026363372803
RC107,651.3592666985076,712.6283707069099,38.0356698567849,6,6.5,0.5,20.79760468006134
R108,624.3064901459094,644.1818939148426,13.003404919978372,6,6.0,0.0,23.802862024307252
C108,363.246800411591,363.246800411591,7.411475059146424e-14,5,5.0,0.0,14.04528067111969
RC108,600.233327425397,606.8804264689968,5.270441386144369,6,6.0,0.0,15.447474503517151
